,age_group,gender,user_replace_id,item_to_replace_id,skin_type_nums,skin_info_nums,category_id_nums,user_rating
0,5.0,0,9880,342,0,0,0,5.0
1,2.0,0,10206,342,0,0,0,5.0
2,5.0,0,9880,342,0,0,0,5.0
3,2.0,0,10206,342,0,0,0,5.0
4,3.0,0,17244,342,1,1,0,5.0
5,3.0,0,17244,342,1,1,0,5.0
6,3.0,0,17244,342,1,1,0,5.0
7,3.0,0,17244,342,1,1,0,5.0
8,3.0,0,17244,342,1,1,0,5.0
9,3.0,0,13641,342,2,2,0,5.0
10,3.0,0,13641,342,2,2,0,5.0
11,4.0,1,3446,342,2,2,0,5.0
12,4.0,0,1090,342,3,3,0,5.0
13,4.0,0,1090,342,3,3,0,5.0
14,4.0,0,1090,342,3,3,0,5.0
15,4.0,0,15889,342,0,4,0,4.0
16,4.0,0,4938,342,2,3,0,4.0
17,5.0,0,3,342,1,4,0,5.0
18,5.0,0,20,342,0,5,0,5.0
19,5.0,0,9965,342,1,6,0,4.0
20,4.0,0,2012,342,1,1,0,5.0
21,4.0,1,5595,342,1,6,0,5.0
22,4.0,1,5595,342,1,6,0,5.0
23,2.0,0,13194,342,0,5,0,5.0
24,3.0,0,5191,342,2,0,0,5.0
25,3.0,0,9093,342,2,0,0,5.0
26,3.0,0,9093,342,2,0,0,5.0
27,3.0,0,9093,342,2,0,0,5.0
28,3.0,0,9093,342,2,0,0,5.0
29,3.0,0,4256,342,2,5,0,5.0
30,4.0,0,1981,342,1,1,0,5.0
31,4.0,1,4557,342,1,1,0,5.0
32,5.0,0,12362,342,1,1,0,5.0
33,5.0,0,12362,342,1,1,0,5.0
34,3.0,0,4415,342,2,5,0,5.0
35,3.0,0,4415,342,2,2,0,5.0
36,3.0,0,4415,342,2,1,0,5.0
37,3.0,0,4415,342,2,3,0,5.0
38,3.0,0,4415,342,0,3,0,5.0
39,4.0,0,3586,342,4,4,0,5.0
40,4.0,0,8308,342,1,3,0,5.0
41,4.0,0,11774,342,1,3,0,5.0
42,4.0,0,5,342,1,5,0,3.0
43,4.0,0,5,342,1,5,0,3.0
44,5.0,1,6084,342,5,3,0,5.0
45,5.0,1,6084,342,2,3,0,5.0
46,5.0,1,6084,342,2,3,0,5.0
47,5.0,0,10432,342,2,4,0,5.0
48,4.0,0,3512,342,0,0,0,5.0
49,5.0,0,2390,342,2,2,0,3.0
50,5.0,0,2390,342,2,2,0,3.0
51,5.0,0,6361,342,1,2,0,3.0
52,2.0,0,16118,342,0,5,0,5.0
53,4.0,0,14242,342,0,2,0,5.0
54,3.0,0,3305,342,2,3,0,5.0
55,4.0,0,13996,342,2,5,0,5.0
56,5.0,0,4859,342,2,3,0,5.0
57,5.0,0,4859,342,2,3,0,5.0
58,4.0,0,9,342,0,2,0,5.0
59,5.0,0,4859,342,2,3,0,5.0
60,5.0,0,4859,342,2,3,0,5.0
61,4.0,1,16459,342,2,5,0,5.0
62,4.0,1,16459,342,2,5,0,5.0
63,3.0,0,6494,342,5,1,0,5.0
64,3.0,0,6494,342,5,1,0,5.0
65,5.0,0,15695,342,2,0,0,5.0
66,5.0,0,15695,342,2,0,0,5.0
67,4.0,1,16459,342,2,5,0,5.0
68,3.0,0,771,342,3,0,0,4.0
69,3.0,0,4415,342,0,5,0,5.0
70,3.0,0,4415,342,0,3,0,5.0
71,3.0,0,4415,342,0,3,0,5.0
72,2.0,0,16947,342,2,5,0,5.0
73,4.0,0,12973,342,0,5,0,5.0
74,4.0,0,12973,342,0,5,0,5.0
75,3.0,0,6866,342,2,3,0,4.0
76,3.0,0,6866,342,2,3,0,4.0
77,3.0,1,2313,342,2,5,0,5.0
78,3.0,1,2313,342,2,5,0,5.0
79,3.0,1,2313,342,2,5,0,5.0
80,3.0,1,2313,342,2,5,0,5.0
81,4.0,0,6832,342,0,3,0,5.0
82,4.0,0,6832,342,0,3,0,5.0
83,4.0,0,13209,342,1,4,0,4.0
84,4.0,0,12367,342,0,4,0,4.0
85,3.0,0,15335,342,3,0,0,5.0
86,3.0,0,4929,342,1,4,0,4.0
87,4.0,0,15602,342,1,1,0,5.0
88,5.0,0,4013,342,2,6,0,5.0
89,2.0,0,14,342,5,4,0,5.0
90,4.0,0,6737,342,5,2,0,5.0
91,4.0,0,6487,342,0,4,0,5.0
92,3.0,0,3293,342,0,0,0,5.0
93,4.0,0,10376,342,2,3,0,3.0
94,4.0,0,12366,342,2,1,0,5.0
95,4.0,0,15212,342,0,2,0,5.0
96,2.0,0,6729,342,2,4,0,5.0
97,2.0,0,4024,342,4,5,0,5.0
98,3.0,0,6014,342,2,5,0,4.0
99,2.0,0,12144,342,2,4,0,5.0
100,4.0,0,9220,342,2,5,0,5.0
101,4.0,0,1023,342,2,5,0,5.0
102,3.0,0,6263,342,2,3,0,5.0
103,4.0,0,3784,183,1,6,0,4.0
104,3.0,0,13788,183,2,0,0,4.0
105,5.0,0,14276,183,3,6,0,5.0
106,4.0,0,3869,183,5,3,0,5.0
107,4.0,0,9,183,2,6,0,5.0
108,5.0,0,2861,183,2,2,0,3.0
109,2.0,1,24,183,0,0,0,5.0
110,3.0,0,17556,183,1,4,0,5.0
111,4.0,0,5797,183,2,0,0,5.0
112,5.0,0,2970,183,2,4,0,5.0
